IdRecorrido;Camion;IdPedido
134277;134277;1042075673
134335;134335;1042075672
134278;134278;1042075670
134278;134278;1042076206
134277;134277;1042076205
134316;134316;1042075664
134278;134278;1042076204
134373;134373;1042076191
134287;134287;1042075357
134332;134332;1042076177
134334;134334;1042075663
134330;134330;1042075661
134330;134330;1042076173
134329;134329;1042075657
134327;134327;1042075659
134327;134327;1042075660
134278;134278;1042076193
134278;134278;1042076203
134316;134316;1042074461
134317;134317;1042074466
134316;134316;1042074464
134318;134318;1042075367
134318;134318;1042075363
134319;134319;1042075362
134319;134319;1042075360
134320;134320;1042075361
134317;134317;1042075364
134332;134332;1042075366
134315;134315;1042076179
134315;134315;1042076180
134315;134315;1042076184
134318;134318;1042076181
134315;134315;1042076182
134315;134315;1042076183
134316;134316;1042076185
134516;134516;1042076198
134278;134278;1042076200
134516;134516;1042075667
134333;134333;1042076188
134516;134516;1042075668
134516;134516;1042075669
134516;134516;1042075674
134509;134509;1042076215
134315;134315;1042076186
134287;134287;1042075355
134321;134321;1042075358
134278;134278;1042075676
134322;134322;1042076036
134322;134322;1042076187
134322;134322;1042076190
134312;134312;1042075807
134331;134331;1042076174
134277;134277;1042075678
134277;134277;1042076195
134287;134287;1042075356
134337;134337;1042075655
134336;134336;1042075654
134278;134278;1042076194
134278;134278;1042076201
134361;134361;1042081614
134361;134361;1042081264
134332;134332;1042078391
134362;134362;1042081245
134360;134360;1042081436
134360;134360;1042081265
134361;134361;1042081263
134509;134509;1042078393
134374;134374;1042078392
134360;134360;1042081268
134371;134371;1042082151
134360;134360;1042078394
134360;134360;1042081261
134352;134352;1042080930
134352;134352;1042080933
134352;134352;1042080935
134361;134361;1042081616
134360;134360;1042081617
134361;134361;1042081618
134360;134360;1042081619
134360;134360;1042081615
134360;134360;1042081266
134360;134360;1042081438
134360;134360;1042081440
134360;134360;1042081269
134361;134361;1042081262
134360;134360;1042081267
134509;134509;1042078397
134509;134509;1042078396
134370;134370;1042082149
134337;134337;1042081442
134372;134372;1042087265
134372;134372;1042086631
134509;134509;1042087251
134378;134378;1042086623
134375;134375;1042087228
134376;134376;1042087229
134372;134372;1042086626
134372;134372;1042086627
134372;134372;1042086630
134372;134372;1042086632
134372;134372;1042086624
134372;134372;1042086625
134372;134372;1042086629
134377;134377;1042087281
134377;134377;1042087282
134372;134372;1042087267
134441;134441;1042088425
134433;134433;1042089562
134530;134530;1042092785
134437;134437;1042092455
134433;134433;1042092774
134444;134444;1042092777
134447;134447;1042092776
134446;134446;1042092779
134438;134438;1042091211
134437;134437;1042092775
134447;134447;1042092773
134381;134381;1042091214
134444;134444;1042092784
134442;134442;1042092467
134440;134440;1042092782
134452;134452;1042092818
134438;134438;1042092459
134437;134437;1042092460
134438;134438;1042092463
134438;134438;1042092464
134437;134437;1042092457
134438;134438;1042092817
134509;134509;1042093037
134437;134437;1042092456
134433;134433;1042092466
134443;134443;1042092819
134443;134443;1042092820
134438;134438;1042092461
134451;134451;1042092465
134433;134433;1042092780
134433;134433;1042091212
134433;134433;1042092781
134433;134433;1042092783
134433;134433;1042091213
134438;134438;1042092462
134466;134466;1042091210
134465;134465;1042091206
134464;134464;1042091209
134463;134463;1042091208
134439;134439;1042092458
134535;134535;1042094100
134510;134510;1042097839
